Data,Label
OBJECT_ANALOG_INPUT_3000323NAE02/FC-2.NAE2-T2-FEC20.ZN1-TWest Electrical Room,1
OBJECT_ANALOG_INPUT_3000665NAE02/FC-2.NAE2-T2-FEC5.ZN4-TWest Electrical Room,1
OBJECT_ANALOG_INPUT_3000909NAE02/FC-1.NAE2-T1-FEC79.ZN1-TWest Electrical Room,1
OBJECT_ANALOG_INPUT_3000341NAE02/FC-2.NAE2-T2-FEC21.ZN1-TOutdoor Air Flow,2
OBJECT_ANALOG_INPUT_3000693NAE02/FC-2.NAE2-T2-FEC6.ZN1-TOutdoor Air Flow,2
OBJECT_ANALOG_INPUT_3000305NAE02/FC-2.NAE2-T2-FEC19.ZN1-TSouth West Corner,3
OBJECT_ANALOG_INPUT_3000661NAE02/FC-2.NAE2-T2-FEC5.ZN2-TSouth West Corner,3
OBJECT_ANALOG_INPUT_3000891NAE02/FC-1.NAE2-T1-FEC78.ZN1-TSouth West Corner,3
OBJECT_ANALOG_INPUT_3000037NAE02/FC-2.NAE2-T2-FEC31.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000055NAE02/FC-2.NAE2-T2-FEC32.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000073NAE02/FC-2.NAE2-T2-FEC33.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000091NAE02/FC-2.NAE2-T2-FEC34.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000109NAE02/FC-2.NAE2-T2-FEC35.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000127NAE02/FC-2.NAE2-T2-FEC36.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000145NAE02/FC-2.NAE2-T2-FEC37.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000163NAE02/FC-2.NAE2-T2-FEC38.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000181NAE02/FC-2.NAE2-T2-FEC39.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000199NAE02/FC-2.NAE2-T2-FEC40.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000235NAE02/FC-2.NAE2-T2-FEC41.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000359NAE02/FC-2.NAE2-T2-FEC22.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000377NAE02/FC-2.NAE2-T2-FEC23.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000395NAE02/FC-2.NAE2-T2-FEC24.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000413NAE02/FC-2.NAE2-T2-FEC25.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000431NAE02/FC-2.NAE2-T2-FEC26.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000449NAE02/FC-2.NAE2-T2-FEC27.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000485NAE02/FC-2.NAE2-T2-FEC28.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000489NAE02/FC-2.NAE2-T2-FEC28.ZN4-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000517NAE02/FC-2.NAE2-T2-FEC10.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000551NAE02/FC-2.NAE2-T2-FEC12.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000569NAE02/FC-2.NAE2-T2-FEC13.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000711NAE02/FC-2.NAE2-T2-FEC7.ZN1-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000727NAE02/FC-2.NAE2-T2-FEC8.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000745NAE02/FC-2.NAE2-T2-FEC9.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000763NAE02/FC-1.NAE2-T1-FEC71.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000781NAE02/FC-1.NAE2-T1-FEC72.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000799NAE02/FC-1.NAE2-T1-FEC73.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000817NAE02/FC-1.NAE2-T1-FEC74.ZN2-TZone 1 Temperature,4
OBJECT_ANALOG_INPUT_3000241NAE02/FC-2.NAE2-T2-FEC41.ZN4-TReturn Air CO2 Sensor A,5
OBJECT_ANALOG_INPUT_3000267NAE02/FC-2.NAE2-T2-FEC17.ZN2-TReturn Air CO2 Sensor B,5
OBJECT_ANALOG_INPUT_3000269NAE02/FC-2.NAE2-T2-FEC17.ZN1-TReturn Air CO2 Sensor C,5
OBJECT_ANALOG_INPUT_3000285NAE02/FC-2.NAE2-T2-FEC18.ZN2-TReturn Air CO2 Sensor D,5
OBJECT_ANALOG_INPUT_3000287NAE02/FC-2.NAE2-T2-FEC18.ZN1-TReturn Air CO2,5
OBJECT_ANALOG_INPUT_3000321NAE02/FC-2.NAE2-T2-FEC20.ZN2-TNorth East Corner,5
OBJECT_ANALOG_INPUT_3000589NAE02/FC-2.NAE2-T2-FEC14.ZN1-TReturn Air CO2 Sensor A,5
OBJECT_ANALOG_INPUT_3000605NAE02/FC-2.NAE2-T2-FEC15.ZN2-TReturn Air CO2 Sensor B,5
OBJECT_ANALOG_INPUT_3000607NAE02/FC-2.NAE2-T2-FEC15.ZN1-TReturn Air CO2 Sensor C,5
OBJECT_ANALOG_INPUT_3000623NAE02/FC-2.NAE2-T2-FEC16.ZN2-TReturn Air CO2 Sensor D,5
OBJECT_ANALOG_INPUT_3000625NAE02/FC-2.NAE2-T2-FEC16.ZN1-TReturn Air CO2,5
OBJECT_ANALOG_INPUT_3000663NAE02/FC-2.NAE2-T2-FEC5.ZN3-TNorth East Corner,5
OBJECT_ANALOG_INPUT_3000837NAE02/FC-1.NAE2-T1-FEC75.ZN1-TReturn Air CO2 Sensor A,5
OBJECT_ANALOG_INPUT_3000853NAE02/FC-1.NAE2-T1-FEC76.ZN2-TReturn Air CO2 Sensor B,5
OBJECT_ANALOG_INPUT_3000855NAE02/FC-1.NAE2-T1-FEC76.ZN1-TReturn Air CO2 Sensor C,5
OBJECT_ANALOG_INPUT_3000871NAE02/FC-1.NAE2-T1-FEC77.ZN2-TReturn Air CO2 Sensor D,5
OBJECT_ANALOG_INPUT_3000873NAE02/FC-1.NAE2-T1-FEC77.ZN1-TReturn Air CO2,5
OBJECT_ANALOG_INPUT_3000889NAE02/FC-1.NAE2-T1-FEC78.ZN2-T*** OFF SET OF 1 DEG ** Sensor replaced,5
OBJECT_ANALOG_INPUT_3000907NAE02/FC-1.NAE2-T1-FEC79.ZN2-TNorth East Corner,5
OBJECT_ANALOG_INPUT_3000093NAE02/FC-2.NAE2-T2-FEC34.ZN1-TCompartment Unit Temp,6
OBJECT_ANALOG_INPUT_3000339NAE02/FC-2.NAE2-T2-FEC21.ZN2-TCompartment Unit Temp,6
OBJECT_ANALOG_INPUT_3000691NAE02/FC-2.NAE2-T2-FEC6.ZN2-TCompartment Unit Temp,6
OBJECT_ANALOG_INPUT_3000925NAE02/FC-1.NAE2-T1-FEC80.ZN2-TCompartment Unit Temp,6
OBJECT_ANALOG_INPUT_3000019NAE02/FC-2.NAE2-T2-FEC30.ZN2-T15th floor mechanical room,7
OBJECT_ANALOG_INPUT_3000237NAE02/FC-2.NAE2-T2-FEC41.ZN2-TFloor Static Pressure 1,8
OBJECT_ANALOG_INPUT_3000239NAE02/FC-2.NAE2-T2-FEC41.ZN3-TFloor Static Pressure 2,8
OBJECT_ANALOG_INPUT_3000571NAE02/FC-2.NAE2-T2-FEC13.ZN1-TFloor Static Pressure 1,8
OBJECT_ANALOG_INPUT_3000587NAE02/FC-2.NAE2-T2-FEC14.ZN2-TFloor Static Pressure 2,8
OBJECT_ANALOG_INPUT_3000819NAE02/FC-1.NAE2-T1-FEC74.ZN1-TFloor Static Pressure 1,8
OBJECT_ANALOG_INPUT_3000835NAE02/FC-1.NAE2-T1-FEC75.ZN2-TFloor Static Pressure 2,8
OBJECT_ANALOG_INPUT_3000303NAE02/FC-2.NAE2-T2-FEC19.ZN2-TSupply Air Temperature,9
OBJECT_ANALOG_INPUT_3000659NAE02/FC-2.NAE2-T2-FEC5.ZN1-TSupply Air Temperature,9
OBJECT_ANALOG_INPUT_3000021NAE02/FC-2.NAE2-T2-FEC30.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000039NAE02/FC-2.NAE2-T2-FEC31.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000057NAE02/FC-2.NAE2-T2-FEC32.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000075NAE02/FC-2.NAE2-T2-FEC33.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000111NAE02/FC-2.NAE2-T2-FEC35.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000129NAE02/FC-2.NAE2-T2-FEC36.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000147NAE02/FC-2.NAE2-T2-FEC37.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000165NAE02/FC-2.NAE2-T2-FEC38.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000183NAE02/FC-2.NAE2-T2-FEC39.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000201NAE02/FC-2.NAE2-T2-FEC40.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000357NAE02/FC-2.NAE2-T2-FEC22.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000375NAE02/FC-2.NAE2-T2-FEC23.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000393NAE02/FC-2.NAE2-T2-FEC24.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000411NAE02/FC-2.NAE2-T2-FEC25.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000429NAE02/FC-2.NAE2-T2-FEC26.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000447NAE02/FC-2.NAE2-T2-FEC27.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000483NAE02/FC-2.NAE2-T2-FEC28.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000487NAE02/FC-2.NAE2-T2-FEC28.ZN3-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000515NAE02/FC-2.NAE2-T2-FEC10.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000535NAE02/FC-2.NAE2-T2-FEC11.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000553NAE02/FC-2.NAE2-T2-FEC12.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000709NAE02/FC-2.NAE2-T2-FEC7.ZN2-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000729NAE02/FC-2.NAE2-T2-FEC8.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000747NAE02/FC-2.NAE2-T2-FEC9.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000765NAE02/FC-1.NAE2-T1-FEC71.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000783NAE02/FC-1.NAE2-T1-FEC72.ZN1-TZone2 Temperature,10
OBJECT_ANALOG_INPUT_3000801NAE02/FC-1.NAE2-T1-FEC73.ZN1-TZone2 Temperature,10
