PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
OBJECT_ANALOG_OUTPUT_3000372,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000374,NAE08/FC-1.NAE8-T1-FEC63.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000387,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000388,NAE08/FC-1.NAE8-T1-FEC64.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000389,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000391,NAE08/FC-1.NAE8-T1-FEC64.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000404,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000405,NAE08/FC-1.NAE8-T1-FEC65.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000406,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000408,NAE08/FC-1.NAE8-T1-FEC65.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000421,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000422,NAE08/FC-1.NAE8-T1-FEC66.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000423,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000425,NAE08/FC-1.NAE8-T1-FEC66.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000438,NAE08/FC-1.NAE8-T1-FEC67.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000439,NAE08/FC-1.NAE8-T1-FEC67.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000440,NAE08/FC-1.NAE8-T1-FEC67.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000442,NAE08/FC-1.NAE8-T1-FEC67.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000455,NAE08/FC-1.NAE8-T1-FEC68.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000456,NAE08/FC-1.NAE8-T1-FEC68.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000457,NAE08/FC-1.NAE8-T1-FEC68.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000459,NAE08/FC-1.NAE8-T1-FEC68.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000472,NAE08/FC-1.NAE8-T1-FEC69.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000473,NAE08/FC-1.NAE8-T1-FEC69.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000474,NAE08/FC-1.NAE8-T1-FEC69.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000476,NAE08/FC-1.NAE8-T1-FEC69.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000494,NAE08/FC-1.NAE8-T1-FEC45.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3000500,NAE08/FC-1.NAE8-T1-FEC45.OAD-%,Outdoor Air Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000510,NAE08/FC-1.NAE8-T1-FEC45.CLG-O,Cooling Output
OBJECT_ANALOG_OUTPUT_3000522,NAE08/FC-1.NAE8-T1-FEC46.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000523,NAE08/FC-1.NAE8-T1-FEC46.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000524,NAE08/FC-1.NAE8-T1-FEC46.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000526,NAE08/FC-1.NAE8-T1-FEC46.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000539,NAE08/FC-1.NAE8-T1-FEC47.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000540,NAE08/FC-1.NAE8-T1-FEC47.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000541,NAE08/FC-1.NAE8-T1-FEC47.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000543,NAE08/FC-1.NAE8-T1-FEC47.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000556,NAE08/FC-1.NAE8-T1-FEC48.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000557,NAE08/FC-1.NAE8-T1-FEC48.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000558,NAE08/FC-1.NAE8-T1-FEC48.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000560,NAE08/FC-1.NAE8-T1-FEC48.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000573,NAE08/FC-1.NAE8-T1-FEC49.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000574,NAE08/FC-1.NAE8-T1-FEC49.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000575,NAE08/FC-1.NAE8-T1-FEC49.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000577,NAE08/FC-1.NAE8-T1-FEC49.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000590,NAE08/FC-1.NAE8-T1-FEC50.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000591,NAE08/FC-1.NAE8-T1-FEC50.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000592,NAE08/FC-1.NAE8-T1-FEC50.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000594,NAE08/FC-1.NAE8-T1-FEC50.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000607,NAE08/FC-1.NAE8-T1-FEC51.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000608,NAE08/FC-1.NAE8-T1-FEC51.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000609,NAE08/FC-1.NAE8-T1-FEC51.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000611,NAE08/FC-1.NAE8-T1-FEC51.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000624,NAE08/FC-1.NAE8-T1-FEC52.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000625,NAE08/FC-1.NAE8-T1-FEC52.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000626,NAE08/FC-1.NAE8-T1-FEC52.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000628,NAE08/FC-1.NAE8-T1-FEC52.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000641,NAE08/FC-1.NAE8-T1-FEC53.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000642,NAE08/FC-1.NAE8-T1-FEC53.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000643,NAE08/FC-1.NAE8-T1-FEC53.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000645,NAE08/FC-1.NAE8-T1-FEC53.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000658,NAE08/FC-1.NAE8-T1-FEC54.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000659,NAE08/FC-1.NAE8-T1-FEC54.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000660,NAE08/FC-1.NAE8-T1-FEC54.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000662,NAE08/FC-1.NAE8-T1-FEC54.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000675,NAE08/FC-1.NAE8-T1-FEC55.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000676,NAE08/FC-1.NAE8-T1-FEC55.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000677,NAE08/FC-1.NAE8-T1-FEC55.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000679,NAE08/FC-1.NAE8-T1-FEC55.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000692,NAE08/FC-1.NAE8-T1-FEC56.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000693,NAE08/FC-1.NAE8-T1-FEC56.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000694,NAE08/FC-1.NAE8-T1-FEC56.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000696,NAE08/FC-1.NAE8-T1-FEC56.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000711,NAE08/FC-1.NAE8-T1-VMA44.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3000718,NAE08/FC-1.NAE8-T1-VMA57.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3000725,NAE08/FC-1.NAE8-T1-VMA73.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3001035,NAE08/FC-1.9-UP-86.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3001043,NAE08/FC-1.9-UP-86.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3001054,NAE08/FC-1.9-UP-85.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3001055,NAE08/FC-1.9-UP-85.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3001060,NAE08/FC-1.9-UP-85.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3001068,NAE08/FC-1.9-UP-84.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3001080,NAE08/FC-1.9-UP-83.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3001108,NAE08/FC-1.9-UP-87.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3001110,NAE08/FC-1.9-UP-87.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3001691,NAE08/FC-1.7-UP-90.DAD1-O,Zone 1 Damper Output
OBJECT_ANALOG_OUTPUT_3001701,NAE08/FC-1.7-UP-90.ZN2-DAD-%,Zone 2 Damper Output
OBJECT_ANALOG_OUTPUT_3001733,NAE08/FC-1.7-UP-91.DAD1-O,Zone 1 Damper Output
OBJECT_ANALOG_OUTPUT_3001777,NAE08/FC-1.7-UP-92.DAD1-O,Zone 1 Damper Output
OBJECT_ANALOG_OUTPUT_3001787,NAE08/FC-1.7-UP-92.ZN2-DAD-%,Zone 2 Damper Output
OBJECT_ANALOG_OUTPUT_3001788,NAE08/FC-1.7-UP-92.DAD3-O,Zone 3 Damper Output
OBJECT_ANALOG_OUTPUT_3001806,NAE08/FC-1.7-UP-90.DAD3-O,Zone 3 Damper Output
OBJECT_ANALOG_OUTPUT_3001930,NAE08/FC-1.9-UP-88.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3001932,NAE08/FC-1.9-UP-88.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3001950,NAE08/FC-1.9-UP-89.DPR-O,Supply Air Damper Output
OBJECT_ANALOG_OUTPUT_3001952,NAE08/FC-1.9-UP-89.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3002200,NAE08/FC-1.8-UP-100.FPV2-O,Fan Powered VAV 2 Output
OBJECT_ANALOG_OUTPUT_3002201,NAE08/FC-1.8-UP-100.FPV3-O,Fan Powered VAV 3 Output
OBJECT_ANALOG_OUTPUT_3002202,NAE08/FC-1.8-UP-100.DAD2-O,Zone 2 Damper Output
OBJECT_ANALOG_OUTPUT_3002203,NAE08/FC-1.8-UP-100.DAD3-O,Zone 3 Damper Output
OBJECT_ANALOG_OUTPUT_3002447,NAE08/FC-1.9-UP-86.DAD3-O,Sideloop Output
OBJECT_ANALOG_OUTPUT_3002537,NAE08/FC-1.8-UP-101.DAD1-O,Zone 1 Damper Output
OBJECT_ANALOG_OUTPUT_3002621,NAE08/FC-1.7-UP-93.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3003806,NAE08/FC-1.8-UP-102.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_VALUE_3000059,NAE08/FC-1.NAE08-T1-FEC70.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000061,NAE08/FC-1.NAE08-T1-FEC70.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000063,NAE08/FC-1.NAE08-T1-FEC70.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000064,NAE08/FC-1.NAE08-T1-FEC70.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000065,NAE08/FC-1.NAE08-T1-FEC70.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000076,NAE08/FC-1.NAE8-T1-FEC71.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000078,NAE08/FC-1.NAE8-T1-FEC71.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000080,NAE08/FC-1.NAE8-T1-FEC71.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000081,NAE08/FC-1.NAE8-T1-FEC71.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000082,NAE08/FC-1.NAE8-T1-FEC71.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000093,NAE08/FC-1.NAE8-T1-FEC72.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000095,NAE08/FC-1.NAE8-T1-FEC72.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000097,NAE08/FC-1.NAE8-T1-FEC72.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000098,NAE08/FC-1.NAE8-T1-FEC72.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000099,NAE08/FC-1.NAE8-T1-FEC72.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000110,NAE08/FC-1.NAE8-T1-FEC73.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000112,NAE08/FC-1.NAE8-T1-FEC73.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000114,NAE08/FC-1.NAE8-T1-FEC73.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000115,NAE08/FC-1.NAE8-T1-FEC73.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000116,NAE08/FC-1.NAE8-T1-FEC73.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000127,NAE08/FC-1.NAE8-T1-FEC74.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000129,NAE08/FC-1.NAE8-T1-FEC74.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000131,NAE08/FC-1.NAE8-T1-FEC74.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000132,NAE08/FC-1.NAE8-T1-FEC74.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000133,NAE08/FC-1.NAE8-T1-FEC74.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000144,NAE08/FC-1.NAE8-T1-FEC75.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000146,NAE08/FC-1.NAE8-T1-FEC75.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000148,NAE08/FC-1.NAE8-T1-FEC75.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000149,NAE08/FC-1.NAE8-T1-FEC75.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000150,NAE08/FC-1.NAE8-T1-FEC75.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000161,NAE08/FC-1.NAE8-T1-FEC76.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000163,NAE08/FC-1.NAE8-T1-FEC76.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000165,NAE08/FC-1.NAE8-T1-FEC76.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000166,NAE08/FC-1.NAE8-T1-FEC76.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000167,NAE08/FC-1.NAE8-T1-FEC76.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000178,NAE08/FC-1.NAE8-T1-FEC77.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000180,NAE08/FC-1.NAE8-T1-FEC77.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000182,NAE08/FC-1.NAE8-T1-FEC77.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000183,NAE08/FC-1.NAE8-T1-FEC77.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000184,NAE08/FC-1.NAE8-T1-FEC77.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000195,NAE08/FC-1.NAE8-T1-FEC78.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000197,NAE08/FC-1.NAE8-T1-FEC78.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000199,NAE08/FC-1.NAE8-T1-FEC78.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000200,NAE08/FC-1.NAE8-T1-FEC78.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000201,NAE08/FC-1.NAE8-T1-FEC78.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000212,NAE08/FC-1.NAE8-T1-FEC79.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000214,NAE08/FC-1.NAE8-T1-FEC79.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000216,NAE08/FC-1.NAE8-T1-FEC79.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000217,NAE08/FC-1.NAE8-T1-FEC79.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000218,NAE08/FC-1.NAE8-T1-FEC79.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000229,NAE08/FC-1.NAE8-T1-FEC80.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000231,NAE08/FC-1.NAE8-T1-FEC80.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000233,NAE08/FC-1.NAE8-T1-FEC80.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000234,NAE08/FC-1.NAE8-T1-FEC80.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000235,NAE08/FC-1.NAE8-T1-FEC80.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000260,NAE08/FC-1.NAE8-T1-FEC81.MOAFLOW-SP,Min OA Flow Setpoint
OBJECT_ANALOG_VALUE_3000261,NAE08/FC-1.NAE8-T1-FEC81.ZNP-SP,Duct Static Pressure Setpoint
OBJECT_ANALOG_VALUE_3000262,NAE08/FC-1.NAE8-T1-FEC81.SAT-SP,Discharge Air Temperature Setpoint
OBJECT_ANALOG_VALUE_3000266,NAE08/FC-1.NAE8-T1-FEC81.RA CO2 Setpoint,CS Input (Float)
OBJECT_ANALOG_VALUE_3000268,NAE08/FC-1.NAE8-T1-FEC81.Flow-SP,Setpoint
OBJECT_ANALOG_VALUE_3000293,NAE08/FC-1.NAE8-T1-FEC58.MOAFLOW-SP,Min OA Flow Setpoint
OBJECT_ANALOG_VALUE_3000294,NAE08/FC-1.NAE8-T1-FEC58.ZNP-SP,Duct Static Pressure Setpoint
OBJECT_ANALOG_VALUE_3000295,NAE08/FC-1.NAE8-T1-FEC58.SAT-SP,Discharge Air Temperature Setpoint
OBJECT_ANALOG_VALUE_3000299,NAE08/FC-1.NAE8-T1-FEC58.RA CO2 Setpoint,CS Input (Float)
OBJECT_ANALOG_VALUE_3000301,NAE08/FC-1.NAE8-T1-FEC58.Flow-SP,Setpoint
OBJECT_ANALOG_VALUE_3000312,NAE08/FC-1.NAE8-T1-FEC59.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000314,NAE08/FC-1.NAE8-T1-FEC59.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000316,NAE08/FC-1.NAE8-T1-FEC59.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000317,NAE08/FC-1.NAE8-T1-FEC59.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000318,NAE08/FC-1.NAE8-T1-FEC59.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000329,NAE08/FC-1.NAE8-T1-FEC60.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000331,NAE08/FC-1.NAE8-T1-FEC60.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000333,NAE08/FC-1.NAE8-T1-FEC60.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000334,NAE08/FC-1.NAE8-T1-FEC60.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000335,NAE08/FC-1.NAE8-T1-FEC60.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000346,NAE08/FC-1.NAE8-T1-FEC61.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000348,NAE08/FC-1.NAE8-T1-FEC61.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000350,NAE08/FC-1.NAE8-T1-FEC61.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000351,NAE08/FC-1.NAE8-T1-FEC61.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000352,NAE08/FC-1.NAE8-T1-FEC61.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000363,NAE08/FC-1.NAE8-T1-FEC62.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000365,NAE08/FC-1.NAE8-T1-FEC62.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000367,NAE08/FC-1.NAE8-T1-FEC62.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000368,NAE08/FC-1.NAE8-T1-FEC62.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000369,NAE08/FC-1.NAE8-T1-FEC62.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000380,NAE08/FC-1.NAE8-T1-FEC63.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000382,NAE08/FC-1.NAE8-T1-FEC63.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000384,NAE08/FC-1.NAE8-T1-FEC63.ZN2T-SP,Zone 2 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000385,NAE08/FC-1.NAE8-T1-FEC63.ZN2-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000386,NAE08/FC-1.NAE8-T1-FEC63.ZN1-DMP-MAX,CS Input (Float)
OBJECT_ANALOG_VALUE_3000397,NAE08/FC-1.NAE8-T1-FEC64.FLUSHPOS,Flush Position
OBJECT_ANALOG_VALUE_3000399,NAE08/FC-1.NAE8-T1-FEC64.ZN1T-SP,Zone 1 Temperature Setpoint
OBJECT_ANALOG_VALUE_3000401,NAE08/FC-1.NAE8-T1-FEC64.ZN2T-SP,Zone 2 Temperature Setpoint
